co_cnes,co_ibge,no_fantasia,ds_tipo_unidade,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,uf,municipio,nu_telefone
"6577687","292240","SECRETARIA DE SAUDE DE MUTUIPE","CENTRAL DE GESTAO EM SAUDE","M","RUA RUY BARBOSA","S/N","CENTRO","45480000","BA","Mutuípe",""
"6578500","500210","REABILIT CONSULTORIO DE FISIOTERAPIA","CLINICA/CENTRO DE ESPECIALIDADE","M","ALMIRANTE BARROSO","S/N","CENTRO","79260000","MS","Bela Vista",""
"6577725","355660","SECRETARIA MUNICIPAL DE SAUDE E HIGIENE DE VERA CRUZ","CENTRAL DE GESTAO EM SAUDE","M","RUA PAULO GUERREIRO FRANCO","997","CENTRO","17560000","SP","Vera Cruz",""
"6577733","355410","CONS SERGIO LUIZ TEIXEIRA M PERES","CONSULTORIO ISOLADO","M","PCA MONS SILVA BARROS","254","CENTRO","12020070","SP","Taubaté","36351489"
"6577768","410490","LABORATORIO DOFF SOTTA","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)","M","RUA DR JORGE XAVIER DA SILVA","1078","CENTRO","84165000","PR","Castro","3232-4854"
"6577806","420245","SAMU BOMBINHAS","UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA","M","RUA CACHALOTE","589","MORRINHOS","88215000","SC","Bombinhas","33934363"
"6577830","240260","CENTRO DE ATENCAO PSICOSSOCIAL CAPS II","CENTRO DE ATENCAO PSICOSSOCIAL","M","RUA POETISA DOLORES","13","CENTRO","59570000","RN","Ceará-Mirim","(84)3274-5914"
"6577865","315960","DIMENSAO CLINICA MEDICA","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)","M","RUA CEL GABRIEL CAPISTRANO","256","CENTRO","37540000","MG","Santa Rita do Sapucaí","3534713531"
"6577873","355670","JULIANA PEREIRA PERSI","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)","M","RUA ROCINHA","213","CAPELA","13280000","SP","Vinhedo","38764932"
"6577881","231330","CENTRAL DE CONSULTORIOS","CLINICA/CENTRO DE ESPECIALIDADE","M","RUA MAFISA CIDRAO ROCHA","63","CENTRO","63660000","CE","Tauá","88-34371097"
"6577903","411605","SMS DE MISSAL","CENTRAL DE GESTAO EM SAUDE","M","RUA NOSSA SENHORA DA LUZ","357","CENTRO","85890000","PR","Missal","45 3244 2282"
"6577938","292520","CEO CENTRO DE ESPECIALIDADES ODONTOLOGICA DE POJUCA","CLINICA/CENTRO DE ESPECIALIDADE","M","AVENIDA CONSELHEIRO CHAVES","S/N","CENTRO","48120000","BA","Pojuca","7136451013"
"6577946","330520","CLINICA SANTA MARIA","CLINICA/CENTRO DE ESPECIALIDADE","M","RODOVIA RJ 140 KM 03","110","FLUMINENSE","28941030","RJ","São Pedro da Aldeia","(22) 26212126"
"6577997","260140","SECRETARIA DE SAUDE DOS BARREIROS","CENTRAL DE GESTAO EM SAUDE","M","RUA DOM LUIZ","380","CENTRO","55560000","PE","Barreiros",""
"6578004","250160","UNIDADE BASICA DE SAUDE ASSENTAMENTO RIACHO DA CRUZ ESF IV","CENTRO DE SAUDE/UNIDADE BASICA","M","ASSENTAMENTO RIACHO DA CRUZ","0000000000","ZONA RURAL","58170000","PB","Barra de Santa Rosa",""
"6578039","351620","A E CLINICA ESTETICA LTDA ME","CONSULTORIO ISOLADO","M","AV MAJOR NICACIO","1415","CIDADE NOVA","14401135","SP","Franca",""
"6578071","261485","SECRETARIA DE SAUDE DE TAMANDARE","CENTRAL DE GESTAO EM SAUDE","M","AVENIDA DR LEOPOLDO LINS","S/N","CENTRO","55578000","PE","Tamandaré",""
"7567650","530010","VCP ODONTOLOGIA","CONSULTORIO ISOLADO","E","SGA SUL QUADRA 915 CONJUNTO N SALA","311","ASA SUL","70390150","DF","Brasília","(61)32451535"
"6578101","261190","SECRETARIA DE SAUDE DO RIO FORMOSO","CENTRAL DE GESTAO EM SAUDE","M","PRACA 7 DE FEVEREIRO","01","CENTRO","55570000","PE","Rio Formoso",""
